フォルダ名,科目コード,科目名,対象学年,クラスコード,講義室,開講学期,曜日・時限,単位区分,単位数
工学部,A0202000,技術者倫理,3年・4年,X1,１－３０３,後期,金Ⅲ,選択,2
工学部,A0203000,地球環境,3年・4年,X1,Ｇ１５２,後期,月Ⅰ,選択,2
工学部,A0204000,キャリア意識形成,2年,11,Ｇ３５０２,前期,月Ⅰ,選択,2
工学部,A0204000,キャリア意識形成,2年,21,Ｇ２３１１,後期,月Ⅱ,選択,2
工学部,A0209000,情報処理演習,3年・4年,X1,セ－実習室１,後期,金Ⅰ・金Ⅱ,選択,2
工学部,A0210000,キャリアデザイン,3年・4年,12,Ｇ２４０９,前期,火Ⅲ,選択,2
工学部,A0210000,キャリアデザイン,3年・4年,22,Ｇ１５１,前期,火Ⅲ,選択,2
工学部,A1011000,建築構造材料,2年・3年・4年,X1,１－５０２,前期,月Ⅲ,必修,2
工学部,A1030000,建築設備１,2年・3年・4年,X1,Ｇ２２１０,前期,火Ⅱ,必修・選択,2
工学部,A1041000,設計製図１,1年・2年・3年・4年,X1,２－Ｂ２０１,後期,火Ⅲ・火Ⅳ,必修,2
工学部,A1044000,設計製図４,3年・4年,X1,２－Ｂ２０１,前期,水Ⅲ・水Ⅳ・水Ⅴ,必修,3
工学部,A1045000,線形代数１,1年・2年・3年・4年,11,Ｇ２４０９,前期,月Ⅱ,必修,2
工学部,A1045000,線形代数１,1年・2年・3年・4年,21,Ｇ２３１１,前期,月Ⅱ,必修,2
工学部,A1048000,卒業研究,4年,X1,,通年,時間外,必修,4
工学部,A1052000,鉄筋コンクリート構造,2年,X1,１－５０２,後期,月Ⅳ,必修,2
工学部,A1052000,鉄筋コンクリート構造,3年・4年,再履１,１－４０１,後期,金Ⅱ,必修,2
工学部,A1054000,鉄骨構造,3年・4年,X1,Ｇ２５２,前期,月Ⅲ,必修,2
工学部,A1056000,都市計画１,3年・4年,X1,Ｇ２１１０,前期,水Ⅱ,必修,2
工学部,A1057000,微分積分１及び演習,1年,11,Ｇ２４０７,前期,木Ⅲ・木Ⅳ,必修,3
工学部,A1057000,微分積分１及び演習,1年,21,１－５０１,前期,木Ⅲ・木Ⅳ,必修,3
工学部,A1057000,微分積分１及び演習,1年・2年・3年・4年,31,Ｇ２５２,前期,木Ⅲ・木Ⅳ,必修,3
工学部,A1057000,微分積分１及び演習,1年・2年・3年・4年,再履１,Ｇ２２０８,後期,水Ⅴ・水Ⅵ,必修,3
工学部,A1057000,微分積分１及び演習,1年・2年・3年・4年,再履２,Ｇ２２０８,後期,木Ⅴ・木Ⅵ,必修,3
工学部,A1064000,物理学（力学）,1年,11,１－３０３,前期,金Ⅱ,必修,2
工学部,A1064000,物理学（力学）,1年,21,Ｇ３４０２,前期,金Ⅱ,必修,2
工学部,A1064000,物理学（力学）,1年・2年・3年・4年,31,Ｇ２２０８,前期,金Ⅱ,必修,2
工学部,A1064000,物理学（力学）,2年・3年・4年,再履１,Ｇ２２０９,前期,木Ⅴ,必修,2
工学部,A1064000,物理学（力学）,2年・3年・4年,再履２,Ｇ２２０８,前期,火Ⅴ,必修,2
工学部,A1064000,物理学（力学）,1年・2年・3年・4年,再履３,Ｇ２２０８,後期,火Ⅴ,必修,2
工学部,A1067000,設計製図２,2年・3年・4年,X1,２－Ｂ２０１,前期,金Ⅲ・金Ⅳ・金Ⅴ,必修,3
工学部,A1068000,設計製図３,2年・3年・4年,X1,２－Ｂ２０１,後期,金Ⅲ・金Ⅳ・金Ⅴ,必修,3
工学部,A1070000,住居計画,2年・3年・4年,X1,１－５０２,前期,月Ⅳ,必修,2
工学部,A1079000,西洋建築史,2年・3年・4年,X1,Ｇ２１１０,後期,月Ⅲ,必修,2
工学部,A1080000,建築法規及び行政,3年・4年,X1,Ｇ１５１,前期,木Ⅰ,必修,2
工学部,A1082000,建築計画学,1年・2年・3年・4年,X1,Ｇ２１１０,後期,水Ⅱ,必修,2
工学部,A1082000,建築計画学,2年・3年・4年,再履１,１－３０３,後期,金Ⅱ,必修,2
工学部,A1083000,施設計画１,2年・3年・4年,X1,７－２０１,後期,木Ⅱ,必修,2
工学部,A1084000,日本建築史１,1年・2年・3年・4年,X1,Ｇ２２１０,後期,火Ⅰ,必修,2
工学部,A1087000,建築構造力学１及び演習,1年・2年・3年・4年,11,７－２０２,後期,月Ⅲ・月Ⅳ,必修,3
工学部,A1087000,建築構造力学１及び演習,1年・2年・3年・4年,21,７－２０６,後期,月Ⅲ・月Ⅳ,必修,3
工学部,A1088000,建築構造力学２及び演習,2年・3年・4年,11,Ｇ２４０７,前期,水Ⅰ・水Ⅱ,必修,3
工学部,A1088000,建築構造力学２及び演習,2年・3年・4年,21,Ｇ２５１,前期,水Ⅰ・水Ⅱ,必修,3
工学部,A1090000,建築工学実験,3年・4年,X1,Ｇ２２１０,前期,金Ⅲ・金Ⅳ,必修,2
工学部,A1091000,建築施工１,3年・4年,X1,Ｇ２１１０,前期,木Ⅲ,必修,2
工学部,A1092000,建築図学,1年・2年・3年・4年,X1,２－Ｂ２０１,前期,火Ⅲ・火Ⅳ,必修,2
工学部,A1093000,環境工学１,1年・2年・3年・4年,X1,Ｇ２１１０,後期,金Ⅲ,必修,2
工学部,A1094000,建築概説,1年・2年・3年・4年,X1,Ｇ２２１０,前期,月Ⅲ,必修,2
工学部,A1095000,データサイエンス基礎数理,1年・2年,11,Ｇ２３１１,前期,火Ⅱ,必修,2
工学部,A1095000,データサイエンス基礎数理,1年・2年,21,１－３０３,前期,火Ⅱ,必修,2
工学部,A1096000,建築セミナー,1年・2年・3年・4年,X1,１－３０１・１－３０３,前期,水Ⅰ・木Ⅰ,必修,1
工学部,A2003000,確率・統計,2年・3年・4年,X1,Ｇ３３０３,前期,火Ⅰ,選択,2
工学部,A2043000,建築設備２,2年・3年・4年,X1,Ｇ１５２,後期,金Ⅱ,選択,2
工学部,A2044000,建築設備３,3年・4年,X1,７－２０５,前期,火Ⅳ,選択,2
工学部,A2063000,造形,1年・2年・3年・4年,X1,２－Ｂ２０１,前期,月Ⅳ・月Ⅴ,選択,2
工学部,A2088000,都市計画２,3年・4年,X1,７－２０１,後期,月Ⅲ,選択,2
工学部,A2093000,物理実験,2年・3年・4年,X1,10号６・７Ｆ,後期,火Ⅲ・火Ⅳ,選択,2
工学部,A2101000,線形代数２,1年・2年・3年・4年,11,１－３０３,後期,月Ⅱ,選択,2
工学部,A2101000,線形代数２,1年・2年・3年・4年,21,Ｇ２２０９,後期,月Ⅱ,選択,2
工学部,A2102000,微分積分２及び演習,1年,11,Ｇ２５０６,後期,木Ⅲ・木Ⅳ,選択,3
工学部,A2102000,微分積分２及び演習,1年,21,Ｇ２５２,後期,木Ⅲ・木Ⅳ,選択,3
工学部,A2102000,微分積分２及び演習,1年・2年・3年・4年,31,Ｇ２３１１,後期,木Ⅲ・木Ⅳ,選択,3
工学部,A2102000,微分積分２及び演習,2年・3年・4年,再履１,Ｇ２２０８,前期,木Ⅴ・木Ⅵ,選択,3
工学部,A2103000,微分方程式,2年・3年・4年,X1,Ｇ３３０３,前期,火Ⅳ,選択,2
工学部,A2104000,物理学（波動）,2年・3年・4年,11,Ｇ２２０９,前期,月Ⅱ,選択,2
工学部,A2104000,物理学（波動）,2年・3年・4年,21,Ｇ２２０８,前期,月Ⅱ,選択,2
工学部,A2105000,物理学（電磁気学）,1年・2年・3年・4年,11,Ｇ３３０３,後期,水Ⅰ,選択,2
工学部,A2105000,物理学（電磁気学）,1年・2年・3年・4年,21,Ｇ３４０３,後期,水Ⅰ,選択,2
工学部,A2106000,化学１,1年・2年・3年・4年,X1,Ｇ２３１０,後期,金Ⅱ,選択,2
工学部,A2107000,職業指導,4年,X1,Ｇ１５１,後期,木Ⅳ,選択,2
工学部,A2113000,建築ＣＡＤ,2年・3年・4年,X1,セ－実習室１,後期,火Ⅰ・火Ⅱ,選択,2
工学部,A2121000,建築施工２,3年・4年,X1,７－２０１,後期,木Ⅰ,選択,2
工学部,A2125000,近代建築史,3年・4年,X1,１２－２０２,前期,月Ⅰ,選択,2
工学部,A2134000,建築設計１,3年・4年,X1,２－Ｂ２０１,後期,水Ⅲ・水Ⅳ,選択,2
工学部,A2135000,建築設計２,4年,X1,２－Ｂ１０１,前期,月Ⅲ・月Ⅳ,選択,2
工学部,A2143000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
工学部,A2144000,施設計画２,3年・4年,X1,Ｇ１５１,前期,木Ⅱ,選択,2
工学部,A2144000,施設計画２,3年・4年,Z9,Ｇ１５１,前期,木Ⅱ,選択,2
工学部,A2145000,環境行動計画,3年・4年,X1,Ｇ２１１０,後期,月Ⅳ,選択,2
工学部,A2147000,ランドスケープデザイン,3年・4年,X1,７－２０２,後期,木Ⅱ,選択,2
工学部,A2148000,日本建築史２,2年・3年・4年,X1,Ｇ２３１１,前期,火Ⅲ,選択,2
工学部,A2150000,環境保全論,4年,X1,１２－２０２,前期,木Ⅲ,選択,2
工学部,A2152000,環境工学２,2年・3年・4年,X1,７－２０１,前期,木Ⅱ,選択,2
工学部,A2155000,建築設備設計１,3年・4年,X1,セ－実習室２,前期,月Ⅳ・月Ⅴ,選択,2
工学部,A2156000,建築設備設計２,3年・4年,X1,情教実習室Ｂ,後期,火Ⅲ・火Ⅳ,選択,2
工学部,A2158000,耐震耐風構造,4年,X1,７－２０３,前期,月Ⅲ,選択,2
工学部,A2160000,木構造,2年・3年・4年,X1,Ｇ２５１,前期,水Ⅳ,選択,2
工学部,A2161000,建築基礎構造,4年,X1,１２－２０２,前期,月Ⅱ,選択,2
工学部,A2162000,建築構造設計１,3年・4年,X1,７－２０１,後期,金Ⅲ・金Ⅳ,選択,2
工学部,A2163000,建築構造設計２,4年,X1,７－２０６,前期,水Ⅰ・水Ⅱ,選択,2
工学部,A2164000,建築一般材料,2年・3年・4年,X1,１－４０１,後期,水Ⅲ,選択,2
工学部,A2165000,測量学,4年,X1,７－２０３,前期,水Ⅲ,選択,2
工学部,A2166000,測量実習,4年,X1,７－２０３,前期,水Ⅳ・水Ⅴ,選択,2
工学部,A2170000,工学基礎数理,2年・3年・4年,再履１,Ｇ２３１０,前期,火Ⅴ,選択,2
工学部,A2171000,建築ＣＡＤ応用,3年・4年,11,ＰＣ学習室,前期,火Ⅰ・火Ⅱ,選択,2
工学部,A2171000,建築ＣＡＤ応用,3年・4年,21,情教実習室Ａ,前期,木Ⅳ・木Ⅴ,選択,2
工学部,A2172000,建築構造解析及び演習,3年・4年,X1,７－２０３,前期,金Ⅰ・金Ⅱ,選択,3
工学部,A2173000,ファシリティマネジメント,4年,X1,７－２０６,前期,金Ⅱ,選択,2
工学部,A2174000,省エネルギー設計,4年,X1,セ－実習室２,前期,木Ⅱ,選択,2
工学部,A2182000,情報リテラシ,1年・2年・3年・4年,X1,セ－実習室１,前期,火Ⅰ,選択,1
工学部,B0103000,工学基礎数理,2年・3年・4年,再履１,Ｇ２３１０,前期,火Ⅴ,必修,2
工学部,B0201000,現代社会と倫理,4年,X1,１－３０３,後期,金Ⅳ,選択,2
工学部,B0203000,キャリア意識形成,2年,X1,Ｇ３４０３,前期,月Ⅳ,選択,2
工学部,B0209000,統計処理,3年・4年,X1,情教実習室Ａ,後期,木Ⅴ,選択,2
工学部,B0210000,キャリアデザイン,3年・4年,11,Ｇ２４０７,前期,火Ⅲ,選択,2
工学部,B0210000,キャリアデザイン,3年・4年,21,Ｇ２４０７,前期,火Ⅳ,選択,2
工学部,B1001000,線形代数１,1年・2年・3年・4年,11,１－３０３,前期,木Ⅲ,必修,2
工学部,B1001000,線形代数１,1年・2年・3年・4年,21,Ｇ２２０８,前期,木Ⅲ,必修,2
工学部,B1002000,物理学（力学）,1年,11,Ｇ２２０９,後期,金Ⅱ,必修,2
工学部,B1002000,物理学（力学）,1年・2年・3年・4年,21,Ｇ３４０２,後期,金Ⅱ,必修,2
工学部,B1002000,物理学（力学）,2年・3年・4年,再履１,Ｇ２２０９,前期,木Ⅴ,必修,2
