folder_name,subject_code,subject_name,grade,class_code,class_room,semester,day_time,classification,credit
情報科学部,K0103000,キャリア意識形成,2年・3年,11,Ｇ３４０３,前期,月Ⅲ,必修,2
情報科学部,K0103000,キャリア意識形成,2年・3年,21,Ｇ３２０３,後期,月Ⅲ,必修,2
情報科学部,K0204000,キャリアデザイン２,3年・4年,11,Ｇ３３０２,後期,月Ⅳ,選択,2
情報科学部,K0204000,キャリアデザイン２,3年・4年,21,Ｇ３３０３,後期,月Ⅳ,選択,2
情報科学部,K0205000,経済基礎知識,3年・4年,X1,Ｇ２３１０,前期,木Ⅲ,選択,2
情報科学部,K0206000,知的財産権,3年・4年,X1,Ｋ４０４,後期,水Ⅰ,選択,2
情報科学部,K0207000,情報と職業,3年・4年,X1,１２－２０２,後期,木Ⅲ,選択,2
情報科学部,K1003000,プログラミング及び演習１,1年・2年・3年・4年,X1,１－５０２,前期,木Ⅰ・木Ⅱ,必修,3
情報科学部,K1005000,情報数学１,1年・2年・3年・4年,11,１－５０１,前期,水Ⅱ,必修,2
情報科学部,K1005000,情報数学１,1年・2年・3年・4年,21,１－５０２,前期,水Ⅱ,必修,2
情報科学部,K1005000,情報数学１,1年・2年・3年・4年,Z1,１－５０１,前期,水Ⅱ,選択,2
情報科学部,K1005000,情報数学１,1年・2年・3年・4年,Z2,１－５０２,前期,水Ⅱ,選択,2
情報科学部,K1007000,コンピュータネットワーク,2年・3年・4年,X1,１－５０２,前期,水Ⅳ,必修,2
情報科学部,K1011000,基礎数学及び演習,2年・3年・4年,再履１,Ｇ２２０９,前期,月Ⅴ・火Ⅴ,必修,3
情報科学部,K1013000,物理実験,2年・3年・4年,X1,10号６・７Ｆ,後期,金Ⅲ・金Ⅳ,必修・選択,2
情報科学部,K1015000,組み込みシステム概論,3年・4年,X1,１－４０１,前期,月Ⅰ,必修,2
情報科学部,K1015000,組み込みシステム概論,3年・4年,Z1,１－４０１,前期,月Ⅰ,選択,2
情報科学部,K1016000,セミナー,3年・4年,X1,,通年,火Ⅰ,必修,2
情報科学部,K1017000,コンピュータリテラシ,1年・2年・3年・4年,11,１－５０２,前期,月Ⅰ,必修,2
情報科学部,K1017000,コンピュータリテラシ,1年・2年・3年・4年,21,１１－１０１,前期,月Ⅰ,必修,2
情報科学部,K1018000,卒業研究,4年,X1,,通年,時間外,必修,4
情報科学部,K1019000,物理学（力学）,1年,11,Ｇ３３０３,後期,水Ⅱ,必修,2
情報科学部,K1019000,物理学（力学）,1年・2年・3年・4年,21,Ｇ３４０３,後期,水Ⅱ,必修,2
情報科学部,K1019000,物理学（力学）,2年・3年・4年,再履１,Ｇ２２０９,前期,木Ⅴ,必修,2
情報科学部,K1019000,物理学（力学）,2年・3年・4年,再履２,Ｇ２２０８,前期,火Ⅴ,必修,2
情報科学部,K1019000,物理学（力学）,1年・2年・3年・4年,再履３,Ｇ２２０８,後期,火Ⅴ,必修,2
情報科学部,K1020000,データサイエンス基礎数理,1年・2年,11,Ｇ２３１１,前期,木Ⅲ,必修,2
情報科学部,K1020000,データサイエンス基礎数理,1年・2年,21,Ｇ２２０９,前期,木Ⅲ,必修,2
情報科学部,K1021000,情報社会及び情報倫理,1年・2年・3年・4年,X1,Ｇ２１１０,前期,月Ⅲ,必修,2
情報科学部,K1022000,キャリアデザイン１,1年・2年・3年・4年,X1,Ｇ２１１０,前期,月Ⅱ,必修,2
情報科学部,K2012000,言語理論及びコンパイラ,3年・4年,X1,１１－４０１,前期,月Ⅱ,選択,2
情報科学部,K2012000,言語理論及びコンパイラ,3年・4年,Z1,１１－４０１,前期,月Ⅱ,選択,2
情報科学部,K2014000,計算の理論,3年・4年,X1,１－５０２,後期,水Ⅱ,選択,2
情報科学部,K2014000,計算の理論,3年・4年,Z1,１－５０２,後期,水Ⅱ,選択,2
